SeqNo,stationbus,stationA,stationB,traveltime,SeqNo,stoptime
153,南勢角-蘆洲,捷運景安站,捷運南勢角站,97,16,28
154,南勢角-迴龍,捷運迴龍站,捷運丹鳳站,168,1,0
155,南勢角-迴龍,捷運丹鳳站,捷運輔大站,113,2,25
156,南勢角-迴龍,捷運輔大站,捷運新莊站,137,3,25
157,南勢角-迴龍,捷運新莊站,捷運頭前庄站,94,4,25
158,南勢角-迴龍,捷運頭前庄站,捷運先嗇宮站,108,5,25
159,南勢角-迴龍,捷運先嗇宮站,捷運三重站,142,6,25
160,南勢角-迴龍,捷運三重站,捷運菜寮站,84,7,25
161,南勢角-迴龍,捷運菜寮站,捷運台北橋站,97,8,25
162,南勢角-迴龍,捷運台北橋站,捷運大橋頭站,127,9,25
163,南勢角-迴龍,捷運大橋頭站,捷運民權西路站,72,10,26
164,南勢角-迴龍,捷運民權西路站,捷運中山國小站,72,11,33
165,南勢角-迴龍,捷運中山國小站,捷運行天宮站,96,12,30
166,南勢角-迴龍,捷運行天宮站,捷運松江南京站,78,13,30
167,南勢角-迴龍,捷運松江南京站,捷運忠孝新生站,102,14,30
168,南勢角-迴龍,捷運忠孝新生站,捷運東門站,136,15,38
169,南勢角-迴龍,捷運東門站,捷運古亭站,208,16,33
170,南勢角-迴龍,捷運古亭站,捷運頂溪站,187,17,33
171,南勢角-迴龍,捷運頂溪站,捷運永安市場站,103,18,29
172,南勢角-迴龍,捷運永安市場站,捷運景安站,90,19,29
173,南勢角-迴龍,捷運景安站,捷運南勢角站,97,20,28
174,新北產業園區-大坪林,捷運新北產業園區站,捷運幸福站,135,1,0
175,新北產業園區-大坪林,捷運幸福站,捷運頭前庄站,95,2,23
176,新北產業園區-大坪林,捷運頭前庄站,捷運新埔民生站,143,3,35
177,新北產業園區-大坪林,捷運新埔民生站,捷運板橋站,191,4,25
178,新北產業園區-大坪林,捷運板橋站,捷運板新站,153,5,40
179,新北產業園區-大坪林,捷運板新站,捷運中原站,111,6,25
180,新北產業園區-大坪林,捷運中原站,捷運橋和站,72,7,25
181,新北產業園區-大坪林,捷運橋和站,捷運中和站,104,8,25
182,新北產業園區-大坪林,捷運中和站,捷運景安站,194,9,25
183,新北產業園區-大坪林,捷運景安站,捷運景平站,84,10,35
184,新北產業園區-大坪林,捷運景平站,捷運秀朗橋站,79,11,25
185,新北產業園區-大坪林,捷運秀朗橋站,捷運十四張站,111,12,23
186,新北產業園區-大坪林,捷運十四張站,捷運大坪林站,145,13,23
